Timestamp,what subject are you doing today?,On a scale of 1 to 5 how satisfied your study session was,"On a scale of 1 (easy) to 5 (very challenging), how difficult do you find each subject?"
3/10/2025 15:06:08,Combined Science (Physics),4,4
3/10/2025 15:06:10,E Math,2,4
3/10/2025 15:06:11,Combined Science (Physics),3,4
3/10/2025 15:06:12,Combined Science (Chemistry),4,4
3/10/2025 15:06:13,Combined Science (Chemistry),2,2
3/10/2025 15:06:15,E Math,4,1
3/10/2025 15:06:16,Combined Science (Physics),2,5
3/10/2025 15:06:17,Combined Science (Bio),3,3
3/10/2025 15:06:19,Combined Science (Chemistry),4,3
3/10/2025 15:06:20,Combined Science (Physics),3,3
3/10/2025 15:06:21,E Math,5,3
3/10/2025 15:06:23,A Math,4,3
3/10/2025 15:06:24,Combined Science (Bio),4,2
3/10/2025 15:06:25,E Math,2,2
3/10/2025 15:06:27,Combined Science (Bio),4,4
3/10/2025 15:06:28,Combined Science (Bio),5,3
3/10/2025 15:06:29,Combined Science (Bio),4,5
3/10/2025 15:06:31,Combined Science (Physics),3,2
3/10/2025 15:06:32,Combined Science (Bio),2,3
3/10/2025 15:06:34,A Math,4,2
3/10/2025 15:06:35,A Math,3,5
3/10/2025 15:06:36,A Math,4,2
3/10/2025 15:06:37,A Math,3,2
3/10/2025 15:06:39,A Math,2,1
3/10/2025 15:06:40,E Math,4,3
3/10/2025 15:06:41,Combined Science (Physics),3,4
3/10/2025 15:06:42,Combined Science (Bio),1,5
3/10/2025 15:06:44,A Math,2,5
3/10/2025 15:06:45,E Math,3,5
3/10/2025 15:06:46,Combined Science (Chemistry),5,3
3/10/2025 15:06:48,Combined Science (Chemistry),4,1
3/10/2025 15:06:49,Combined Science (Chemistry),3,3
3/10/2025 15:06:50,A Math,4,3
3/10/2025 15:06:52,E Math,3,5
3/10/2025 15:06:53,Combined Science (Bio),1,3
3/10/2025 15:06:54,Combined Science (Chemistry),2,3
3/10/2025 15:06:55,Combined Science (Physics),3,3
