Timestamp,Typical Study Session Duration,Daily Study Sessions,Preferred Study Time,Break Frequency,Favorite Break Activity,Schedule Satisfaction
3/4/2025 20:58:02,30-60 minutes,1,Afternoon,Rarely,snack break,2
3/4/2025 20:58:03,More than 2 hours,1,Morning,Often,Power nap,1
3/4/2025 20:58:04,1-2 hours,1,Night,Often,short walk,4
3/4/2025 20:58:05,1-2 hours,1,Evening,Rarely,Power nap,2
3/4/2025 20:58:06,Less than 30 minutes,2,Evening,Often,Power nap,4
3/4/2025 20:58:07,1-2 hours,1,Evening,Always,short walk,4
3/4/2025 20:58:08,30-60 minutes,2,Night,Never,short walk,2
3/4/2025 20:58:09,1-2 hours,2,Afternoon,Often,Power nap,3
3/4/2025 20:58:10,30-60 minutes,2,Evening,Never,social media,3
3/4/2025 20:58:11,1-2 hours,1,Night,Often,social media,1
3/4/2025 20:58:12,1-2 hours,1,Afternoon,Always,snack break,1
3/4/2025 20:58:13,More than 2 hours,2,Evening,Rarely,social media,4
3/4/2025 20:58:13,More than 2 hours,1,Afternoon,Often,Power nap,3
3/4/2025 20:58:14,30-60 minutes,1,Afternoon,Sometimes,snack break,3
3/4/2025 20:58:15,1-2 hours,3,Afternoon,Sometimes,snack break,3
3/4/2025 20:58:16,30-60 minutes,1,Night,Rarely,Power nap,1
3/4/2025 20:58:17,30-60 minutes,1,Evening,Always,snack break,3
3/4/2025 20:58:18,30-60 minutes,2,Afternoon,Sometimes,snack break,4
3/4/2025 20:58:19,More than 2 hours,2,Morning,Rarely,Power nap,4
3/4/2025 20:58:20,1-2 hours,3,Morning,Rarely,snack break,4
3/4/2025 20:58:21,More than 2 hours,2,Night,Rarely,Power nap,3
3/4/2025 20:58:22,30-60 minutes,1,Afternoon,Often,short walk,4
3/4/2025 20:58:23,30-60 minutes,1,Evening,Always,social media,4
3/4/2025 20:58:24,1-2 hours,1,Afternoon,Often,short walk,3
3/4/2025 20:58:25,1-2 hours,1,Evening,Often,snack break,2
3/4/2025 20:58:26,More than 2 hours,1,Night,Never,social media,3
3/4/2025 20:58:26,1-2 hours,2,Evening,Often,social media,2
3/4/2025 20:58:27,30-60 minutes,2,Morning,Sometimes,Power nap,5
3/4/2025 20:58:28,30-60 minutes,2,Night,Sometimes,snack break,4
3/4/2025 20:58:29,More than 2 hours,2,Night,Often,short walk,5
3/4/2025 20:58:30,1-2 hours,2,Afternoon,Never,snack break,5
3/4/2025 20:58:31,Less than 30 minutes,3,Evening,Often,Power nap,4
3/4/2025 20:58:32,30-60 minutes,3,Afternoon,Sometimes,short walk,1
3/4/2025 20:58:33,1-2 hours,2,Morning,Always,social media,4
3/4/2025 20:58:34,More than 2 hours,2,Afternoon,Always,social media,4
3/4/2025 20:58:35,Less than 30 minutes,1,Afternoon,Always,snack break,3
3/4/2025 20:58:36,More than 2 hours,1,Afternoon,Often,short walk,5
3/4/2025 20:58:37,1-2 hours,3,Evening,Sometimes,Power nap,4
3/4/2025 20:58:38,1-2 hours,3,Afternoon,Rarely,snack break,5
3/4/2025 20:58:38,30-60 minutes,1,Afternoon,Sometimes,snack break,2
3/4/2025 20:58:39,1-2 hours,2,Morning,Always,short walk,4
3/4/2025 20:58:40,More than 2 hours,2,Evening,Sometimes,Power nap,3
3/4/2025 20:58:41,More than 2 hours,2,Afternoon,Often,short walk,2
3/4/2025 20:58:42,1-2 hours,1,Afternoon,Sometimes,social media,1
3/4/2025 20:58:43,1-2 hours,3,Morning,Sometimes,short walk,3
3/4/2025 20:58:44,30-60 minutes,1,Evening,Sometimes,social media,5
3/4/2025 20:58:45,1-2 hours,1,Morning,Sometimes,snack break,3
3/4/2025 20:58:46,1-2 hours,3,Night,Often,short walk,3
3/4/2025 20:58:47,30-60 minutes,3,Night,Often,snack break,5
3/4/2025 20:58:48,1-2 hours,1,Morning,Always,snack break,4
3/4/2025 20:58:49,Less than 30 minutes,2,Afternoon,Sometimes,short walk,4
3/4/2025 20:58:49,1-2 hours,1,Evening,Rarely,Power nap,3
3/4/2025 20:58:50,30-60 minutes,2,Afternoon,Rarely,social media,4
3/4/2025 20:58:51,30-60 minutes,2,Night,Always,social media,5
3/4/2025 20:58:52,1-2 hours,2,Morning,Sometimes,snack break,3
3/4/2025 20:58:53,1-2 hours,3,Morning,Often,snack break,4
3/4/2025 20:58:54,30-60 minutes,1,Afternoon,Always,short walk,4
3/4/2025 20:58:55,30-60 minutes,2,Night,Sometimes,social media,1
3/4/2025 20:58:56,30-60 minutes,2,Morning,Often,short walk,3
3/4/2025 20:58:57,30-60 minutes,2,Evening,Always,short walk,5
3/4/2025 20:58:58,1-2 hours,1,Evening,Sometimes,snack break,4
3/4/2025 20:58:59,1-2 hours,1,Morning,Sometimes,Power nap,2
3/4/2025 20:59:00,Less than 30 minutes,3,Evening,Often,short walk,4
3/4/2025 20:59:01,1-2 hours,1,Evening,Always,short walk,5
3/4/2025 20:59:02,More than 2 hours,1,Evening,Often,snack break,4
3/4/2025 20:59:02,Less than 30 minutes,1,Evening,Rarely,short walk,3
3/4/2025 20:59:03,1-2 hours,1,Afternoon,Always,social media,3
3/4/2025 20:59:04,1-2 hours,1,Morning,Sometimes,social media,4
3/4/2025 20:59:05,More than 2 hours,1,Afternoon,Often,social media,5
3/4/2025 20:59:06,30-60 minutes,1,Evening,Sometimes,short walk,2
3/4/2025 20:59:07,1-2 hours,1,Night,Sometimes,snack break,3
3/4/2025 20:59:08,30-60 minutes,2,Afternoon,Often,social media,4
3/4/2025 20:59:09,More than 2 hours,3,Night,Always,snack break,2
3/4/2025 20:59:10,1-2 hours,2,Morning,Rarely,snack break,3
3/4/2025 20:59:11,More than 2 hours,3,Afternoon,Often,snack break,2
3/4/2025 20:59:12,30-60 minutes,2,Afternoon,Sometimes,short walk,5
3/4/2025 20:59:13,1-2 hours,3,Afternoon,Often,short walk,3
3/4/2025 20:59:14,More than 2 hours,2,Evening,Sometimes,short walk,2
3/4/2025 20:59:14,1-2 hours,2,Night,Often,Power nap,4
3/4/2025 20:59:15,1-2 hours,2,Morning,Always,Power nap,5
3/4/2025 20:59:16,30-60 minutes,2,Night,Sometimes,snack break,3
3/4/2025 20:59:17,30-60 minutes,2,Morning,Often,short walk,2
3/4/2025 20:59:18,Less than 30 minutes,3,Evening,Sometimes,snack break,3
3/4/2025 20:59:19,More than 2 hours,2,Afternoon,Always,Power nap,5
3/4/2025 20:59:20,30-60 minutes,3,Night,Rarely,snack break,2
3/4/2025 20:59:21,1-2 hours,1,Night,Often,short walk,3
3/4/2025 20:59:22,More than 2 hours,2,Evening,Rarely,Power nap,3
3/4/2025 20:59:23,1-2 hours,3,Evening,Rarely,short walk,3
3/4/2025 20:59:24,1-2 hours,1,Morning,Always,snack break,4
3/4/2025 20:59:25,Less than 30 minutes,3,Morning,Often,short walk,5
3/4/2025 20:59:25,30-60 minutes,2,Night,Sometimes,snack break,3
3/4/2025 20:59:26,More than 2 hours,1,Evening,Sometimes,Power nap,1
3/4/2025 20:59:27,Less than 30 minutes,2,Evening,Always,short walk,4
3/4/2025 20:59:28,1-2 hours,2,Evening,Sometimes,short walk,1
3/4/2025 20:59:29,1-2 hours,1,Evening,Often,social media,1
3/4/2025 20:59:30,1-2 hours,1,Afternoon,Sometimes,social media,2
3/4/2025 20:59:31,30-60 minutes,3,Night,Never,Power nap,4
3/4/2025 20:59:32,Less than 30 minutes,2,Evening,Always,snack break,4
3/4/2025 20:59:33,More than 2 hours,2,Afternoon,Sometimes,short walk,3
3/4/2025 20:59:34,30-60 minutes,3,Morning,Often,social media,3
