Timestamp,Typical Study Session Duration,Daily Study Sessions,Preferred Study Time,Break Frequency,Favorite Break Activity,Schedule Satisfaction,Tomorrow Study Time
3/4/2025 20:58,30-60 minutes,1,Afternoon,Rarely,snack break,2,Less than 30 minutes
3/4/2025 20:58,More than 2 hours,1,Morning,Often,Power nap,1,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Night,Often,short walk,4,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Evening,Rarely,Power nap,2,30-60 minutes
3/4/2025 20:58,Less than 30 minutes,2,Evening,Often,Power nap,4,30-60 minutes
3/4/2025 20:58,1-2 hours,1,Evening,Always,short walk,4,More than 2 hours
3/4/2025 20:58,30-60 minutes,2,Night,Never,short walk,2,Less than 30 minutes
3/4/2025 20:58,1-2 hours,2,Afternoon,Often,Power nap,3,More than 2 hours
3/4/2025 20:58,30-60 minutes,2,Evening,Never,social media,3,Less than 30 minutes
3/4/2025 20:58,1-2 hours,1,Night,Often,social media,1,1-2 hours
3/4/2025 20:58,1-2 hours,1,Afternoon,Always,snack break,1,1-2 hours
3/4/2025 20:58,More than 2 hours,2,Evening,Rarely,social media,4,More than 2 hours
3/4/2025 20:58,More than 2 hours,1,Afternoon,Often,Power nap,3,More than 2 hours
3/4/2025 20:58,30-60 minutes,1,Afternoon,Sometimes,snack break,3,30-60 minutes
3/4/2025 20:58,1-2 hours,3,Afternoon,Sometimes,snack break,3,1-2 hours
3/4/2025 20:58,30-60 minutes,1,Night,Rarely,Power nap,1,Less than 30 minutes
3/4/2025 20:58,30-60 minutes,1,Evening,Always,snack break,3,1-2 hours
3/4/2025 20:58,30-60 minutes,2,Afternoon,Sometimes,snack break,4,1-2 hours
3/4/2025 20:58,More than 2 hours,2,Morning,Rarely,Power nap,4,More than 2 hours
3/4/2025 20:58,1-2 hours,3,Morning,Rarely,snack break,4,1-2 hours
3/4/2025 20:58,More than 2 hours,2,Night,Rarely,Power nap,3,More than 2 hours
